YearMonth,Index,floatShares
2021-05,RMBI,12470000.0
2021-06,RMBI,12470000.0
2021-07,RMBI,12420000.0
2021-08,RMBI,12420000.0
2021-09,RMBI,12420000.0
2021-10,RMBI,12310000.0
2021-11,RMBI,12310000.0
2021-12,RMBI,12310000.0
2022-01,RMBI,11950000.0
2022-02,RMBI,11950000.0
2022-03,RMBI,11950000.0
2022-04,RMBI,11820000.0
2022-05,RMBI,11820000.0
2022-06,RMBI,11820000.0
2022-07,RMBI,10224942.0
2020-01,FCFS,41440000.0
2020-02,FCFS,41440000.0
2020-03,FCFS,41440000.0
2020-04,FCFS,41440000.0
2020-05,FCFS,41440000.0
2020-06,FCFS,41440000.0
2020-07,FCFS,41440000.0
2020-08,FCFS,41440000.0
2020-09,FCFS,41440000.0
2020-10,FCFS,41040000.0
2020-11,FCFS,41040000.0
2020-12,FCFS,41040000.0
2021-01,FCFS,41030000.0
2021-02,FCFS,41030000.0
2021-03,FCFS,41030000.0
2021-04,FCFS,40450000.0
2021-05,FCFS,40450000.0
2021-06,FCFS,40450000.0
2021-07,FCFS,40430000.0
2021-08,FCFS,40430000.0
2021-09,FCFS,40430000.0
2021-10,FCFS,48490000.0
2021-11,FCFS,48490000.0
2021-12,FCFS,48490000.0
2022-01,FCFS,47460000.0
2022-02,FCFS,47460000.0
2022-03,FCFS,47460000.0
2022-04,FCFS,38314118.0
2022-05,FCFS,38314118.0
2022-06,FCFS,38314118.0
2022-07,FCFS,38314118.0
2020-01,CYBR,39030000.0
2020-02,CYBR,39030000.0
2020-03,CYBR,39030000.0
2020-04,CYBR,39030000.0
2020-05,CYBR,39030000.0
2020-06,CYBR,39030000.0
2020-07,CYBR,39030000.0
2020-08,CYBR,39030000.0
2020-09,CYBR,39030000.0
2020-10,CYBR,39598527.0
2020-11,CYBR,39598527.0
2020-12,CYBR,39598527.0
2021-01,CYBR,39598527.0
2021-02,CYBR,39598527.0
2021-03,CYBR,39598527.0
2021-04,CYBR,39598527.0
2021-05,CYBR,39598527.0
2021-06,CYBR,39598527.0
2021-07,CYBR,39598527.0
2021-08,CYBR,39598527.0
2021-09,CYBR,39598527.0
2021-10,CYBR,39598527.0
2021-11,CYBR,39598527.0
2021-12,CYBR,39598527.0
2022-01,CYBR,39598527.0
2022-02,CYBR,39598527.0
2022-03,CYBR,39598527.0
2022-04,CYBR,39598527.0
2022-05,CYBR,39598527.0
2022-06,CYBR,39598527.0
2022-07,CYBR,39598527.0
2020-01,MFIC,63520000.0
2020-02,MFIC,63520000.0
2020-03,MFIC,63520000.0
2020-04,MFIC,63520000.0
2020-05,MFIC,63520000.0
2020-06,MFIC,63520000.0
2020-07,MFIC,63520000.0
2020-08,MFIC,63520000.0
2020-09,MFIC,63520000.0
2020-10,MFIC,63520000.0
2020-11,MFIC,63520000.0
2020-12,MFIC,63520000.0
2021-01,MFIC,63520000.0
2021-02,MFIC,63520000.0
2021-03,MFIC,63520000.0
2021-04,MFIC,63520000.0
2021-05,MFIC,63520000.0
2021-06,MFIC,63520000.0
2021-07,MFIC,63520000.0
2021-08,MFIC,63520000.0
2021-09,MFIC,63520000.0
2021-10,MFIC,63520000.0
2021-11,MFIC,63520000.0
2021-12,MFIC,63520000.0
2022-01,MFIC,63520000.0
2022-02,MFIC,63520000.0
2022-03,MFIC,63520000.0
2022-04,MFIC,63520000.0
2022-05,MFIC,63520000.0
2022-06,MFIC,63520000.0
2022-07,MFIC,63520000.0
2020-01,MSTR,7620000.0
2020-02,MSTR,7620000.0
2020-03,MSTR,7620000.0
2020-04,MSTR,7620000.0
2020-05,MSTR,7620000.0
2020-06,MSTR,7620000.0
2020-07,MSTR,7620000.0
2020-08,MSTR,7620000.0
2020-09,MSTR,7620000.0
2020-10,MSTR,7620000.0
2020-11,MSTR,7620000.0
2020-12,MSTR,7620000.0
2021-01,MSTR,7780000.0
2021-02,MSTR,7780000.0
2021-03,MSTR,7780000.0
2021-04,MSTR,7780000.0
2021-05,MSTR,7780000.0
2021-06,MSTR,7780000.0
2021-07,MSTR,9320000.0
2021-08,MSTR,9320000.0
2021-09,MSTR,9320000.0
2021-10,MSTR,9320000.0
2021-11,MSTR,9320000.0
2021-12,MSTR,9320000.0
2022-01,MSTR,9330000.0
2022-02,MSTR,9330000.0
2022-03,MSTR,9330000.0
2022-04,MSTR,9324092.0
2022-05,MSTR,9324092.0
2022-06,MSTR,9324092.0
2022-07,MSTR,9324092.0
2020-01,PFHD,13390000.0
2020-02,PFHD,13390000.0
2020-03,PFHD,13390000.0
2020-04,PFHD,13450000.0
2020-05,PFHD,13450000.0
2020-06,PFHD,13450000.0
2020-07,PFHD,13490000.0
2020-08,PFHD,13490000.0
2020-09,PFHD,13490000.0
2020-10,PFHD,13660000.0
2020-11,PFHD,13660000.0
2020-12,PFHD,13660000.0
2021-01,PFHD,13660000.0
2021-02,PFHD,13660000.0
2021-03,PFHD,13660000.0
2021-04,PFHD,13420000.0
2021-05,PFHD,13420000.0
2021-06,PFHD,13420000.0
2021-07,PFHD,13430000.0
2021-08,PFHD,13430000.0
2021-09,PFHD,13430000.0
2021-10,PFHD,13520000.0
2021-11,PFHD,13520000.0
2021-12,PFHD,13520000.0
2022-01,PFHD,13750000.0
2022-02,PFHD,13750000.0
2022-03,PFHD,13750000.0
2022-04,PFHD,13770000.0
2022-05,PFHD,13770000.0
2022-06,PFHD,13770000.0
2022-07,PFHD,12196775.0
2020-01,TMDX,21360000.0
2020-02,TMDX,21360000.0
2020-03,TMDX,21360000.0
2020-04,TMDX,27160000.0
2020-05,TMDX,27160000.0
2020-06,TMDX,27160000.0
2020-07,TMDX,27160000.0
2020-08,TMDX,27160000.0
2020-09,TMDX,27160000.0
2020-10,TMDX,27370000.0
2020-11,TMDX,27370000.0
2020-12,TMDX,27370000.0
2021-01,TMDX,27620000.0
2021-02,TMDX,27620000.0
2021-03,TMDX,27620000.0
2021-04,TMDX,27680000.0
2021-05,TMDX,27680000.0
2021-06,TMDX,27680000.0
2021-07,TMDX,27770000.0
2021-08,TMDX,27770000.0
2021-09,TMDX,27770000.0
2021-10,TMDX,27960000.0
2021-11,TMDX,27960000.0
2021-12,TMDX,27960000.0
2022-01,TMDX,27980000.0
2022-02,TMDX,27980000.0
2022-03,TMDX,27980000.0
2022-04,TMDX,28090000.0
2022-05,TMDX,28090000.0
2022-06,TMDX,28090000.0
2022-07,TMDX,26741008.0
2020-01,NARI,46080000.0
2020-02,NARI,46080000.0
2020-03,NARI,46080000.0
2020-04,NARI,48520000.0
2020-05,NARI,48520000.0
2020-06,NARI,48520000.0
2020-07,NARI,48710000.0
2020-08,NARI,48710000.0
2020-09,NARI,48710000.0
2020-10,NARI,49500000.0
2020-11,NARI,49500000.0
2020-12,NARI,49500000.0
2021-01,NARI,49680000.0
2021-02,NARI,49680000.0
2021-03,NARI,49680000.0
2021-04,NARI,49930000.0
2021-05,NARI,49930000.0
2021-06,NARI,49930000.0
2021-07,NARI,50200000.0
2021-08,NARI,50200000.0
2021-09,NARI,50200000.0
2021-10,NARI,50620000.0
2021-11,NARI,50620000.0
2021-12,NARI,50620000.0
2022-01,NARI,53130000.0
2022-02,NARI,53130000.0
2022-03,NARI,53130000.0
2022-04,NARI,53390000.0
2022-05,NARI,53390000.0
2022-06,NARI,53390000.0
2022-07,NARI,47328918.0
2020-01,MCHP,490660000.0
2020-02,MCHP,490660000.0
2020-03,MCHP,490660000.0
2020-04,MCHP,520750000.0
2020-05,MCHP,520750000.0
2020-06,MCHP,520750000.0
2020-07,MCHP,520750000.0
2020-08,MCHP,520750000.0
2020-09,MCHP,520750000.0
2020-10,MCHP,538520000.0
